car,carLabel,manufacturer,manufacturerLabel,inception,inceptionYear,typeLabel
http://www.wikidata.org/entity/Q129803551,Toyota LQ Concept (2019),http://www.wikidata.org/entity/Q53268,Toyota,,,электромобиль
http://www.wikidata.org/entity/Q129803551,Toyota LQ Concept (2019),http://www.wikidata.org/entity/Q53268,Toyota,,,концепт-кар
http://www.wikidata.org/entity/Q122216739,Volkswagen ID.GTI Concept,http://www.wikidata.org/entity/Q156578,Volkswagen,,,электромобиль
http://www.wikidata.org/entity/Q122216739,Volkswagen ID.GTI Concept,http://www.wikidata.org/entity/Q156578,Volkswagen,,,концепт-кар
http://www.wikidata.org/entity/Q122216739,Volkswagen ID.GTI Concept,http://www.wikidata.org/entity/Q156578,Volkswagen,,,Горячий хетчбэк
http://www.wikidata.org/entity/Q12104980,ZAZ Lanos Pick-up,,,,,электромобиль
http://www.wikidata.org/entity/Q12104980,ZAZ Lanos Pick-up,,,,,модель автомобиля
http://www.wikidata.org/entity/Q137735805,Zoox Robotaxi (VH6),http://www.wikidata.org/entity/Q65121026,Zoox,,,электромобиль
http://www.wikidata.org/entity/Q137735805,Zoox Robotaxi (VH6),http://www.wikidata.org/entity/Q65121026,Zoox,,,модель автомобиля
http://www.wikidata.org/entity/Q137735805,Zoox Robotaxi (VH6),http://www.wikidata.org/entity/Q65121026,Zoox,,,беспилотное такси
http://www.wikidata.org/entity/Q86733857,Citroën Ami,http://www.wikidata.org/entity/Q6746,Citroën,,,электромобиль
http://www.wikidata.org/entity/Q86733857,Citroën Ami,http://www.wikidata.org/entity/Q6746,Citroën,,,Квадрицикл
http://www.wikidata.org/entity/Q86733857,Citroën Ami,http://www.wikidata.org/entity/Q6746,Citroën,,,модель автомобиля
http://www.wikidata.org/entity/Q86733857,Citroën Ami,http://www.wikidata.org/entity/Q6746,Citroën,,,моторный квадрицикл
http://www.wikidata.org/entity/Q97170323,Cupra Born,http://www.wikidata.org/entity/Q188217,SEAT,,,электромобиль
http://www.wikidata.org/entity/Q97170323,Cupra Born,http://www.wikidata.org/entity/Q8352675,Cupra,,,электромобиль
http://www.wikidata.org/entity/Q122454984,Cupra Raval,http://www.wikidata.org/entity/Q188217,SEAT,2026-01-01T00:00:00Z,2026,электромобиль
http://www.wikidata.org/entity/Q126598301,Hyundai Inster,http://www.wikidata.org/entity/Q55931,Hyundai Motor,,,электромобиль
http://www.wikidata.org/entity/Q126598301,Hyundai Inster,http://www.wikidata.org/entity/Q55931,Hyundai Motor,,,модель автомобиля
http://www.wikidata.org/entity/Q124378723,JMEV 01,http://www.wikidata.org/entity/Q60788207,JMEV,,,электромобиль
http://www.wikidata.org/entity/Q4042547,LADA Rapan,,,,,электромобиль
http://www.wikidata.org/entity/Q4042547,LADA Rapan,,,,,концепт-кар
http://www.wikidata.org/entity/Q115913459,Mercedes-Benz eSprinter,,,,,электромобиль
http://www.wikidata.org/entity/Q25438979,Synchronous (электромобиль),,,,,электромобиль
http://www.wikidata.org/entity/Q46845259,Tesla Roadster Илона Маска,http://www.wikidata.org/entity/Q478214,"Tesla, Inc.",,,Tesla Roadster
http://www.wikidata.org/entity/Q46845259,Tesla Roadster Илона Маска,http://www.wikidata.org/entity/Q478214,"Tesla, Inc.",,,искусственный спутник Солнца
http://www.wikidata.org/entity/Q106609510,Toyota COMS,http://www.wikidata.org/entity/Q11321695,Toyota Auto Body,,,электромобиль
http://www.wikidata.org/entity/Q19521626,ВАЗ-1801,,,,,электромобиль
http://www.wikidata.org/entity/Q19521626,ВАЗ-1801,,,,,концепт-кар
http://www.wikidata.org/entity/Q19521626,ВАЗ-1801,,,,,модель автомобиля
http://www.wikidata.org/entity/Q19614124,ВАЗ-2802,,,,,грузовой автомобиль
http://www.wikidata.org/entity/Q19614124,ВАЗ-2802,,,,,электромобиль
